network_id,station_id,path
ASOSAWOS,ASOSAWOS_72278303185,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278303185.zarr/
ASOSAWOS,ASOSAWOS_72278403184,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278403184.zarr/
ASOSAWOS,ASOSAWOS_72278623104,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278623104.zarr/
ASOSAWOS,ASOSAWOS_72278753126,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278753126.zarr/
ASOSAWOS,ASOSAWOS_72278803186,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278803186.zarr/
ASOSAWOS,ASOSAWOS_72278903192,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72278903192.zarr/
ASOSAWOS,ASOSAWOS_72281023199,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72281023199.zarr/
ASOSAWOS,ASOSAWOS_72281353146,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72281353146.zarr/
ASOSAWOS,ASOSAWOS_72281703068,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72281703068.zarr/
ASOSAWOS,ASOSAWOS_72282553145,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72282553145.zarr/
ASOSAWOS,ASOSAWOS_72286893138,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72286893138.zarr/
ASOSAWOS,ASOSAWOS_72286903171,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72286903171.zarr/
ASOSAWOS,ASOSAWOS_72287493134,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72287493134.zarr/
ASOSAWOS,ASOSAWOS_72288023152,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72288023152.zarr/
ASOSAWOS,ASOSAWOS_72288593197,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72288593197.zarr/
ASOSAWOS,ASOSAWOS_72288623130,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72288623130.zarr/
ASOSAWOS,ASOSAWOS_72289523243,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72289523243.zarr/
ASOSAWOS,ASOSAWOS_72289793206,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72289793206.zarr/
ASOSAWOS,ASOSAWOS_72289903179,s3://cadcat/histwxstns/ASOSAWOS/ASOSAWOS_72289903179.zarr/
